C,gamma,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
0.01,0.001,0.5,0.0,1.0,93.30705585479737,20.11792893409729
0.01,0.01,0.5,0.0,1.0,96.15712838172912,19.885907316207884
0.01,0.1,0.5,0.0,1.0,91.7408673286438,20.13870005607605
0.01,1.0,0.5,0.0,1.0,88.14350042343139,18.805633449554442
0.01,10.0,0.5466495977606687,0.09339924554634971,0.9998999499749874,90.75249533653259,19.793965768814086
0.01,100.0,0.9086435839160583,0.8823263941519833,0.9349607736801333,76.49208617210388,15.785989570617676
0.1,0.001,0.5,0.0,1.0,95.04740629196166,20.337585926055908
0.1,0.01,0.5,0.0,1.0,86.65426182746887,19.080109167099
0.1,0.1,0.5,0.0,1.0,93.91252646446227,21.346116876602174
0.1,1.0,0.567597220870893,0.1354946418919112,0.9996997998498749,96.3448721408844,20.138774824142455
0.1,10.0,0.9144846982418997,0.8932082726786537,0.9357611238051458,65.99362607002259,14.081727600097656
0.1,100.0,0.9611076141518252,0.9550347912382706,0.9671804370653796,38.57522277832031,6.86194257736206
10.0,0.001,0.5,0.0,1.0,96.63323822021485,20.3732008934021
10.0,0.01,0.5696900933144591,0.13968038677904346,0.9996997998498749,88.97438292503357,19.672496509552
10.0,0.1,0.9152131992817599,0.8941649244831364,0.9362614740803835,62.40396604537964,13.46473593711853
10.0,1.0,0.9574845510948705,0.9504902661751373,0.9644788360146039,34.36632990837097,6.310690879821777
10.0,10.0,0.9692892638281279,0.9663951386644627,0.9721833889917931,18.25674715042114,3.2207273483276366
10.0,100.0,0.984417134806035,0.9819418744655476,0.9868923951465224,10.293294858932494,1.7822352409362794
100.0,0.001,0.5694508946140184,0.13920198937816203,0.9996997998498749,94.66694993972779,20.323209142684938
100.0,0.01,0.9151631492317099,0.8941649244831364,0.9361613739802834,66.68728051185607,14.043831968307495
100.0,0.1,0.957324728206738,0.9503707204488971,0.9642787359645789,31.60407500267029,6.188900899887085
100.0,1.0,0.9674637981226477,0.9636446574786147,0.9712829387666806,18.685866117477417,3.2502480506896974
100.0,10.0,0.9775675909171321,0.9746469397152066,0.9804882421190577,12.740048360824584,2.021171140670776
100.0,100.0,0.9861851846713483,0.9833769236709118,0.9889934456717849,8.873347091674805,1.3680613040924072
