n_estimators,max_depth,accuracy,eukaryote accuracy,prokaryote accuracy,learning time,prediction time
20,5,0.9528281126517015,0.9375755383132613,0.9680806869901417,2.7217907428741457,0.029507970809936522
80,5,0.9611711605841254,0.9484581318263328,0.9738841893419181,10.353351497650147,0.05252771377563477
100,5,0.9613710711757738,0.948457702834492,0.9742844395170558,13.13202428817749,0.06276073455810546
150,5,0.962269046418197,0.9496533030941752,0.9748847897422184,19.84296751022339,0.07630467414855957
200,5,0.96256796790667,0.950251246221297,0.9748846895920433,25.929052305221557,0.10861849784851074
20,10,0.9697746378769627,0.9588611839602811,0.9806880917936447,4.542142677307129,0.030226373672485353
80,10,0.9781663142005048,0.9703414346059139,0.9859911937950958,18.810108137130737,0.06811652183532715
100,10,0.9787447473006312,0.9712983009063167,0.9861911936949456,23.035997056961058,0.08657498359680176
150,10,0.9799528529043846,0.9726136613881604,0.9872920444206088,34.531042146682736,0.12196531295776367
200,10,0.9804118297166695,0.9733313647374426,0.9874922946958964,46.00425462722778,0.13666830062866211
20,15,0.971610324900914,0.9666346591087838,0.9765859906930443,5.8247284412384035,0.03284773826599121
80,15,0.9805376449319663,0.975484045793449,0.9855912440704838,23.38303279876709,0.07640295028686524
100,15,0.9815542697697218,0.9775173956191354,0.9855911439203083,28.89424376487732,0.08678741455078125
150,15,0.9830736448829711,0.9783546446946578,0.9877926450712844,43.59357833862305,0.12001581192016601
200,15,0.9835017884496585,0.9793110820032205,0.9876924948960966,58.26457147598266,0.15915145874023437
20,20,0.9710901858321032,0.9663947811712621,0.9757855904929441,6.294776487350464,0.03169865608215332
80,20,0.9822510558890419,0.9793108675073,0.9851912442707841,26.10102596282959,0.07530317306518555
100,20,0.9828490061139487,0.9805069682574639,0.9851910439704337,32.21339540481567,0.09373564720153808
150,20,0.9839388123875871,0.9809855801542655,0.9868920446209091,48.58932228088379,0.12654967308044435
200,20,0.9841193345259681,0.9807462742058647,0.9874923948460717,64.90803446769715,0.16509313583374025
20,35,0.9710157621004519,0.958741781231321,0.983289742969583,6.957389879226684,0.034126567840576175
80,35,0.9822938187454003,0.9779957930200167,0.986591844470784,27.538086557388304,0.08706731796264648
100,35,0.9824119464266999,0.9788323986077785,0.9859914942456213,34.45272450447082,0.10182900428771972
150,35,0.9834906976667351,0.9797890504122613,0.9871923449212094,52.70578646659851,0.13528404235839844
200,35,0.9839995993413513,0.9805067537615436,0.9874924449211593,69.23362889289857,0.16234960556030273
20,50,0.9709865185486104,0.9583831440526002,0.9835898930446202,6.887861824035644,0.033731269836425784
80,50,0.9822144786824122,0.9776370128440158,0.986791944520809,27.89888687133789,0.08661742210388183
100,50,0.9821631679104694,0.9782347414752172,0.9860915943457214,34.539575052261355,0.09742074012756348
150,50,0.9833613433030172,0.9794303417349003,0.9872923448711342,51.29792914390564,0.13248968124389648
200,50,0.9837006528153343,0.9799088106344218,0.9874924949962468,67.79330596923828,0.16198358535766602
